model,category,policy,cache_MB,peak_GB,tok_per_s
SmolLM2-1.7B,eviction,full,226.492416,3.859171328,31.81114238515908
SmolLM2-1.7B,eviction,sliding(W=256),75.497472,3.827618304,31.706990430147627
SmolLM2-1.7B,eviction,"streaming(s=4,W=252)",75.497472,3.726656,32.18637312560985
SmolLM2-1.7B,eviction,snapkv(b=256),75.497472,3.726656,32.02976475591861
SmolLM2-1.7B,eviction,h2o(b=256),75.497472,3.726656,31.7669720739059
Qwen2-0.5B,eviction,full,14.155776,2.235911168,29.20352197340574
Qwen2-0.5B,eviction,sliding(W=256),4.718592,2.230332416,29.016993404563994
Qwen2-0.5B,eviction,"streaming(s=4,W=252)",4.718592,2.22363392,29.18767276016734
Qwen2-0.5B,eviction,snapkv(b=256),4.718592,2.22363392,29.351865378955154
Qwen2-0.5B,eviction,h2o(b=256),4.718592,2.22363392,29.6951187427125
