model,policy,ppl,full_ppl,delta_ppl,ratio_ppl
SmolLM2-1.7B,full,6.198,6.198,0.0,1.0
SmolLM2-1.7B,sliding(W=256),354.637,6.198,348.439,57.218
SmolLM2-1.7B,"streaming(s=4,W=252)",9.451,6.198,3.253,1.525
SmolLM2-1.7B,snapkv(b=256),8.308,6.198,2.11,1.34
SmolLM2-1.7B,h2o(b=256),8.373,6.198,2.175,1.351
Qwen2-0.5B,full,11.179,11.179,0.0,1.0
Qwen2-0.5B,sliding(W=256),66.634,11.179,55.455,5.961
Qwen2-0.5B,"streaming(s=4,W=252)",17.281,11.179,6.102,1.546
Qwen2-0.5B,snapkv(b=256),14.985,11.179,3.806,1.34
Qwen2-0.5B,h2o(b=256),14.985,11.179,3.806,1.34
